Marker,Cluster
CD20,4
CD3,2
CD4,2
CD45RO,2
CD68,1
CD8a,2
Col1,5
DNA1,0
DNA2,0
Ecadherin,3
FoxP3,1
GranzymeB,1
Histone3,0
Ki67,4
PD1,4
PDL1,1
Pankeratin,3
SMA,2
Vimentin,2
