Marker,Cluster
CD20,3
CD3,6
CD4,6
CD44,1
CD45RO,1
CD68,0
CD8a,6
Col1,4
DNA1,1
DNA2,1
Ecadherin,7
FoxP3,5
GranzymeB,0
H3K9me3,1
Histone3,1
Ki67,3
MHCII,1
PD1,3
PDL1,5
Pankeratin,7
SMA,4
Vimentin,2
