Marker,Cluster
CD20,6
CD3,5
CD4,5
CD44,5
CD45RO,1
CD68,3
CD8a,2
Col1,0
DNA1,1
DNA2,1
Ecadherin,3
FoxP3,4
GranzymeB,3
H3K9me3,1
Histone3,1
Ki67,3
MHCII,1
PD1,4
PDL1,3
Pankeratin,3
SMA,3
Vimentin,3
