Marker,Cluster
CD20,0
CD3,0
CD4,0
CD44,0
CD45RO,6
CD68,5
CD8a,2
Col1,3
DNA1,1
DNA2,1
Ecadherin,2
FoxP3,2
GranzymeB,2
H3K9me3,4
Histone3,4
Ki67,2
MHCII,6
PD1,2
PDL1,2
Pankeratin,2
SMA,2
Vimentin,4
