Marker,Cluster
CD20,4
CD3,3
CD4,3
CD45RO,3
CD68,0
CD8a,3
Col1,2
DNA1,1
DNA2,1
Ecadherin,5
FoxP3,0
GranzymeB,0
Histone3,1
Ki67,4
PD1,4
PDL1,5
Pankeratin,5
SMA,2
Vimentin,3
