Marker,Cluster
CD20,3
CD3,0
CD4,0
CD44,4
CD45RO,2
CD68,1
CD8a,0
Col1,5
DNA1,2
DNA2,2
Ecadherin,4
FoxP3,1
GranzymeB,1
H3K9me3,4
Histone3,4
Ki67,1
MHCII,2
PD1,1
PDL1,1
Pankeratin,1
SMA,1
Vimentin,0
