Marker,Cluster
CD20,4
CD3,3
CD4,3
CD44,6
CD45RO,7
CD68,5
CD8a,3
Col1,0
DNA1,2
DNA2,2
Ecadherin,0
FoxP3,0
GranzymeB,0
H3K9me3,1
Histone3,1
Ki67,0
MHCII,7
PD1,0
PDL1,4
Pankeratin,0
SMA,0
Vimentin,6
