Marker,Cluster
CD20,4
CD3,0
CD4,0
CD45RO,4
CD68,5
CD8a,0
Col1,3
DNA1,1
DNA2,1
Ecadherin,2
FoxP3,4
GranzymeB,5
Histone3,1
Ki67,2
PD1,0
PDL1,2
Pankeratin,2
SMA,4
Vimentin,5
